name,author,narrator,time,releasedate,language,stars,price,ratings
Upstairs at the Roosevelts',CurtisRoosevelt,RobertsonDean,423.0,2017-01-07,English,0.0,820.0,0.0
Il libro della vita,Teresad'Avila,SilviaCecchini,622.0,2016-10-20,italian,0.0,190.0,0.0
脱炭素サバイバル(週刊東洋経済ｅビジネス新書Ｎo.374),週刊東洋経済編集部,海老塚久蔵,156.0,2022-02-02,japanese,0.0,226.0,0.0
Il Grande Dentro di Te,ChristianD.Larson,StefanoTrillini,118.0,2021-05-08,italian,0.0,305.0,0.0
[18巻] 俺、ツインテールになります。　１８: （小学館）,水沢夢,吉岡麻耶,442.0,2022-11-03,japanese,0.0,837.0,0.0
P'tit Loup fait une colère,OrianneLallemand,WillProduction,3.0,2021-07-28,french,0.0,74.0,0.0
Awakening Artemis,VanessaChakour,VanessaChakour,867.0,2022-10-02,English,0.0,888.0,0.0
Haunting Blackie,LaurannDohner,MindyKennedy,430.0,2014-05-13,English,0.0,668.0,0.0
Tied to a Boss 3,J.L.Rose,HoneyJones,397.0,2020-11-17,English,0.0,585.0,0.0
Women and Gender in Islam,"LeilaAhmed,KeciaAli-foreword",SoneelaNankani,851.0,2021-01-03,English,0.0,703.0,0.0
"Ruling over Monarchs, Giants & Stars","ByronMotley,BobMotley",RichardAllen,505.0,2013-02-23,English,0.0,668.0,0.0
"The Breastfeeding Book, Revised Edition","MarthaSearsRN,WilliamSearsMD",ColeenMarlo,844.0,2018-12-18,English,0.0,937.0,0.0
Bite Me If You Can,LynsaySands,RickRobertson,572.0,2009-10-27,English,5.0,1406.0,1.0
Occupational Hazards,RoryStewart,RoryStewart,764.0,2007-09-08,English,0.0,755.0,0.0
Healing Resistance,"KazuHaga,BernardLaFayetteJr.-foreword,DavidC.Jehnsen-foreword",TomParks,601.0,2020-10-27,English,0.0,586.0,0.0
Nero: Life of a Roman Emperor,Suetonius,JonathanWaite,94.0,2016-02-25,English,0.0,376.0,0.0
Il Fronteggiatore,"AntonioMoresco,SusiPietri","GiusyFrallonardo,AlbertoMolinari",162.0,2021-11-11,italian,0.0,190.0,0.0
Die Vögel,Aristophanes,SvenGörtz,128.0,2020-03-07,german,0.0,334.0,0.0
Le tombeau du tyran,RickRiordan,RonanDucolomb,710.0,2021-06-05,french,0.0,755.0,0.0
Герои России,ВячеславБондаренко,АлександрКотов,309.0,2021-01-28,russian,0.0,166.0,0.0
Kat Wolfe Takes the Case,LaurenStJohn,LauraKirman,403.0,2019-04-04,English,0.0,323.0,0.0
Verschwörungen,UmbertoEco,AxelWostry,165.0,2021-08-23,german,0.0,267.0,0.0
Revolution of Values,JonathanWilson-Hartgrove,SeanPratt,321.0,2019-03-12,English,0.0,586.0,0.0
Life after Death,DineshD’Souza,RobertsonDean,472.0,2009-11-20,English,5.0,702.0,1.0
Cleopatra's Moon,VickyA.Shecter,KirstenPotter,745.0,2011-01-08,English,0.0,703.0,0.0
Margherita Dolcevita,StefanoBenni,SaraLabidi,355.0,2021-07-15,italian,0.0,267.0,0.0
Heinrich Heine,PeterBraun,"AlexanderRadszun,IngeborgWunderlich,FriedhelmPtok",120.0,2013-04-02,german,0.0,401.0,0.0
Edith Piaf,ThomasTippner,MatthiasErnstHolzmann,57.0,2021-06-18,german,0.0,233.0,0.0
Naschkatze,M.L.Busch,"MarthaKindermann,FlorianClyde",422.25771428571426,2021-04-25,german,0.0,99.0,0.0
Tatalog,HarishBhat,ArishBhiwandiwala,352.0,2019-11-12,English,4.5,1005.0,34.0
El cuervo [The Raven],EdgarAllanPoe,JoaquinRodrigoMadrigal,5.0,2019-06-19,spanish,0.0,70.0,0.0
Bernie Ecclestone,TerryLovell,NormanGilligan,1342.0,2013-10-21,English,0.0,266.0,0.0
Welcome to Adulting,"Jonathan""JP""Pokluda,KevinMcConaghy","Jonathan""JP""Pokluda",422.25771428571426,2018-04-09,English,4.5,762.0,2.0
"To Charles Fort, with Love",CaitlínR.Kiernan,"RobertFass,PaulWoodson,KevinKenerly,",594.0,2021-03-30,English,0.0,820.0,0.0
Always Kiss the Corpse on Whidbey Island,"SandyFrancesDuncan,GeorgeSzanto",JohnMorgan,716.0,2013-08-10,English,0.0,836.0,0.0
Eine Reise durch Mexico (Yukatan),"IngaOpitz,JoséAntonioSalinas","HarryKühn,MarianneGraffam",83.0,2011-07-04,german,0.0,166.0,0.0
Eyes Wide Open,IsaacLidsky,IsaacLidsky,516.0,2017-03-14,English,0.0,1005.0,0.0
The Faraway Horses,"BuckBrannaman,WilliamReynolds",JohnPruden,367.0,2011-05-12,English,0.0,679.0,0.0
Misterio en Haven Manor,KristiAnnHunter,AdrianaSananes,894.0,2021-06-18,spanish,0.0,946.0,0.0
"The Lone Hunt: Midnight Hunters, Book 4",L.L.Raand,MaxineMitchell,674.0,2013-10-12,English,0.0,942.0,0.0
Musterwechsel,MarkusVäth,TorstenCreutzburg,476.0,2022-01-31,german,0.0,669.0,0.0
Märchen von Hans Christian Andersen 3,HansChristianAndersen,KarlheinzGabor,158.0,2022-03-01,german,0.0,166.0,0.0
The Villain,L.J.Shen,"AvaErickson,JacobMorgan",711.0,2020-12-20,English,5.0,836.0,4.0
The Third Man Factor,JohnGeiger,SeanPratt,484.0,2013-12-20,English,0.0,820.0,0.0
Year of the Monsoon,CarenJ.Werlinger,LisaLarsen,528.0,2019-04-06,English,4.0,668.0,1.0
Gefährliche Rauchzeichen,JörgHagemann,CathrinBürger,97.0,2019-01-18,german,0.0,233.0,0.0
Saving Sadie,"JoalDerseDauer,ElizabethRidley",AnnRichardson,395.0,2019-05-28,English,0.0,586.0,0.0
ザ・ビートルズを求めてロンドンへ,星加ルミ子,星加ルミ子,20.0,2015-10-12,japanese,0.0,139.0,0.0
The Great Poets: William Wordsworth,WilliamWordsworth,"JasperBritton,OliverFordDavies",78.0,2011-05-10,English,0.0,351.0,0.0
Eagle in the Sky,WilburSmith,ByronMondahl,790.0,2019-05-03,English,5.0,721.0,2.0
Un capitano,"FrancescoTotti,PaoloCondò",MassimilianoPazzaglia,757.0,2021-01-13,italian,0.0,382.0,0.0
Indigenous Writes,ChelseaVowel,BrianneTucker,961.0,2020-11-15,English,0.0,680.0,0.0
Dawn of Surrender,LilianaHart,"NoahMichaelLevine,CarlyRobins",114.0,2018-02-20,English,0.0,233.0,0.0
Run for Your Life,MarkCucuzzella,MarkCucuzzella,511.0,2018-09-18,English,4.0,879.0,6.0
Everyday Calming Rituals,TaniaAhsan,AntoniaBeamish,274.0,2020-05-03,English,0.0,569.0,0.0
The Stranger on the Stairs,"MichaelDahl,XavierBonet",anonymous,422.25771428571426,2022-03-18,English,0.0,152.0,0.0
Wikinomics,"DonTapscott,AnthonyD.Williams",AlanSklar,819.0,2007-06-04,English,0.0,891.0,0.0
Hear The Quran Volume 11,AbdullahYusufAli,AurangzebIqbal,77.0,2011-07-18,English,0.0,152.0,0.0
Stand by Me (German edition),HelenaHunting,"SandraVoss,JesseGrimm",631.0,2021-08-27,german,0.0,468.0,0.0
The Pilgrim's Progress,"JohnBunyan,C.J.Lovik-editor",TimLundeen,361.0,2009-09-30,English,0.0,668.0,0.0
"Forestier selon Louise: pas d'choker pas d'collier [Forestier According to Louise: No Choker, No Collar]",LouiseForestier,LouiseForestier,379.0,2019-07-29,french,0.0,700.0,0.0
Culturally Responsive School Leadership,"MuhammadKhalifa,LisaDelpit-foreword",MirronWillis,412.0,2022-01-18,English,0.0,586.0,0.0
The Happy Money Journey,PhoebeBlamey,"PhoebeBlamey,WendySquires,DaveStokes",191.0,2021-06-12,English,0.0,609.0,0.0
Los raros [The Rare],RubénDarío,SergioBustos,504.0,2021-10-08,spanish,0.0,234.0,0.0
Hudson Taylor: An Adventure Begins,CatherineMackenzie,JoeGeoffrey,231.0,2017-10-31,English,0.0,586.0,0.0
Suddenly That Summer,JenniferRose,TeriClarkLinden,283.0,2015-02-11,English,0.0,501.0,0.0
La via delle spezie,"MatteoBellizzi,StefaniaClaudio,FabriziaGalvagno",Mido,6.0,2015-11-12,italian,0.0,36.0,0.0
Combats et métamorphoses d'une femme,EdouardLouis,IrèneJacob,96.0,2021-10-20,french,0.0,604.0,0.0
Dangerous When Wet,ShelleyTaylor-Smith,DanielleCrosbie,467.0,2012-12-30,English,0.0,468.0,0.0
Chasers of the Light,TylerKnottGregson,TylerKnottGregson,56.0,2016-11-08,English,0.0,615.0,0.0
"Sag niemals, das ist dein letzter Weg",JettaSchapiro-Rosenzweig,MarliesWenzel,354.0,2018-08-23,german,0.0,233.0,0.0
The Seducer,ElinPeer,"NoelleBridges,JohnMasterson",580.0,2018-07-24,English,0.0,703.0,0.0
A to Z Mysteries: The Kidnapped King,RonRoy,DavidPittu,61.0,2010-09-14,English,0.0,402.0,0.0
The Princess Stakes,AmalieHoward,AnaisInaraChase,634.0,2021-07-29,English,0.0,1172.0,0.0
The Cowboy's Honor,AmySandas,PilarWitherspoon,630.0,2019-02-26,English,0.0,938.0,0.0
Behind the Wheel - Italian 2,MarkFrobose,MarkFrobose,520.0,2009-09-23,English,0.0,134.0,0.0
Mordsalen,P.D.James,HenrikBorupNielsen,972.0,2022-01-13,danish,0.0,585.0,0.0
第653回 新刊ラジオ第2部プレミアム　,"矢島雅弘,石橋遊","矢島雅弘,石橋遊",15.0,2018-05-15,japanese,0.0,139.0,0.0
Educated,TaraWestover,JuliaWhelan,730.0,2018-02-20,English,4.5,820.0,647.0
Targets Entangled,KennedyLayne,RaquelHarris,547.0,2018-01-02,English,0.0,585.0,0.0
Hot Rods,WendyHinoteLanier,AaronHelming,6.0,2018-04-24,English,0.0,93.0,0.0
新刊ラジオ第2部プレミアム　第418回,"矢島雅弘,石橋遊","矢島雅弘,石橋遊",21.0,2018-05-16,japanese,0.0,139.0,0.0
Just Like You,NickHornby,"BenBaileySmith,HattieLadbury",486.0,2020-09-17,English,4.0,888.0,1.0
Echo,"ThomasOldeHeuvelt,GabrieleHaefs",MatthiasLühn,1206.0,2021-10-25,german,0.0,1005.0,0.0
Circus Shoes,NoelStreatfeild,JanetStreatfeild,506.0,2021-03-06,English,0.0,410.0,0.0
"Men and Rubber, The Story of Business",HarveyS.Firestone,MerelynSmith,164.0,2015-03-09,English,5.0,281.0,1.0
Tell Me to Stop,CharlotteByrd,BrittanyA,232.0,2019-02-08,English,0.0,501.0,0.0
The Troll Bridge,PattiO'Shea,TaraOchs,81.0,2013-09-03,English,0.0,233.0,0.0
Великие тайны археологии,АлександрВолков,АлександрКотов,540.0,2021-01-29,russian,0.0,166.0,0.0
A Season in the Keys,HopeHolloway,AmyMcFadden,483.0,2021-05-10,English,0.0,1005.0,0.0
Uncommon Sense for Parents with Teenagers,MichaelRieraPh.D.,MichaelRieraPh.D.,190.0,2001-06-20,English,0.0,74.0,0.0
Who Do I Think I Am?,AnjelahJohnson-Reyes,AnjelahJohnson-Reyes,524.0,2022-03-15,English,0.0,500.0,0.0
Nuove avventure di Lupo Uragano,PininCarpi,PinoCostalunga,171.0,2022-03-24,italian,0.0,305.0,0.0
保育園義務教育化,古市憲寿,白石兼斗,256.0,2020-10-01,japanese,0.0,697.0,0.0
Science in the Soul,RichardDawkins,"RichardDawkins,LallaWard,GillianSomerscales",880.0,2017-04-08,English,5.0,820.0,1.0
Bonding with your baby in pregnancy / Bonding with your partner,PregnancyMindset,NikkiDelgado,459.0,2019-11-22,English,0.0,585.0,0.0
Connect First,MelanieKatzman,GerrySanseviero,597.0,2021-08-30,English,0.0,586.0,0.0
Dare to Scale,"WarshaJoshi,EvanLeClus",DarrenCarrington,192.0,2021-11-06,English,0.0,379.0,0.0
Pass Your Instrument Pilot Checkride,JasonM.Schappert,JasonM.Schappert,159.0,2019-04-02,English,0.0,233.0,0.0
Oposiciones docentes,MiguelÁngelCaballeroLópez,LuisPinazo,110.0,2022-10-01,spanish,0.0,192.0,0.0
The Infant Jesus of Prague,LudvikNemec,SimonBubb,181.0,2020-03-08,English,0.0,585.0,0.0
Skunk and Badger,AmyTimberlake,MichaelBoatman,177.0,2021-01-08,English,0.0,797.0,0.0
The Burning Light of Two Stars,LauraDavis,"LauraDavis,BeckyParker",723.0,2021-10-25,English,0.0,468.0,0.0
The Qur'an: Surah 71 - Nuh,OneMediaiPLTD,A.Haleem,9.0,2018-03-30,English,0.0,76.0,0.0
Winning the Board Game,BetsyBerkhemer-Credaire,RandyeKaye,737.0,2021-09-14,English,0.0,703.0,0.0
The Crow Brothers,S.L.Scott,"SebastianYork,AvaErickson,JasonClarke,",2431.0,2020-02-24,English,4.0,1003.0,1.0
売上最小化、利益最大化の法則──利益率29%経営の秘密,木下勝寿,檜山尚人,361.0,2021-03-09,japanese,0.0,586.0,0.0
改訂版 キクタン リーディング【Advanced】6000,アルク,アルク,141.0,2019-12-06,japanese,0.0,558.0,0.0
Z Diaries. Staffel 1 - Teil 6,AnjaHansen,"MartinKuupa,FannyBechert",82.0,2021-08-13,german,0.0,233.0,0.0
You Can’t Catch Death,IantheBrautigan,IantheBrautigan,422.25771428571426,2015-02-17,English,0.0,501.0,0.0
Mafia King,RachelVanDyken,"AlexanderCendese,JillianMacie",209.0,2021-04-27,English,0.0,680.0,0.0
Ascending with Both Feet on the Ground,JeffBrown,JeffBrown,120.0,2016-10-18,English,5.0,468.0,1.0
Animal V,K'wan,CaryHite,704.0,2021-11-16,English,0.0,938.0,0.0
Barbie - La porta secreta,"Mattel,MartaCisaMuñoz-traductor",MiriamMonlleo,11.0,2022-02-02,catalan,0.0,76.0,0.0
Madame Récamier,François-RenédeChateaubriand,Jean-NoëlLasvigne,264.0,2005-05-17,french,0.0,451.0,0.0
De profundis,OscarWilde,SilviaCecchini,108.0,2018-11-25,italian,0.0,75.0,0.0
A Text Before Dying,McGarveyBlack,GailShalan,489.0,2021-05-10,English,0.0,703.0,0.0
The Garden,JonGordon,JonGordon,84.0,2020-09-11,English,0.0,233.0,0.0
The Other Side of War,KatharinePrescottWormeley,KateMulligan,274.0,2019-06-25,English,0.0,773.0,0.0
Not Nice,Dr.AzizGazipuraPsyD,Dr.AzizGazipuraPsyD,1082.0,2017-11-30,English,4.5,836.0,6.0
Røv og gulvsand,AnitaKrumbach,GustavScavenius,75.0,2022-01-13,danish,0.0,233.0,0.0
Dracula,BramStoker,"PatriciaAllison,RachelAtkins,DaisyEdgar-Jones,",1105.0,2021-10-21,English,0.0,873.0,0.0
Thou Shall Not Pass,LeoMoynihan,ShaunGrindell,363.0,2021-02-25,English,0.0,585.0,0.0
101 Ways to Magnetize Money...in Any Economy,MattFurey,MattFurey,300.0,2016-01-03,English,0.0,1439.0,0.0
The Strait Path to Real Estate Wealth,"KrisKrohn,KevinClayson","KrisKrohn,StephenMiller",422.25771428571426,2017-04-27,English,0.0,668.0,0.0
Renewal,EknathEaswaran,PaulBazely,83.0,2009-09-10,English,2.5,166.0,3.0
A Bittersweet Garden,CarenJ.Werlinger,AlanaKerrCollins,603.0,2019-04-06,English,5.0,668.0,1.0
El Hombre Espiritual [The Spiritual Man],WatchmanNee,SergioBustos,2068.0,2020-08-09,spanish,0.0,1382.0,0.0
When You Reach Me,RebeccaStead,CynthiaHolloway,259.0,2009-07-14,English,3.5,703.0,3.0
Natural Forces Trilogy,JeanGill,JannieMeisberger,1753.0,2021-09-30,English,0.0,703.0,0.0
Death Valley Aliens,TedFaye,"TedFaye,TimFrance,OHKrill",69.0,2020-06-18,English,0.0,468.0,0.0
Rough Edge,LaurenLandish,"CarlyRobins,LanceGreenfield",676.0,2020-03-06,English,0.0,836.0,0.0
Chandrakanta (Hindi Edition),DevkiNandanKhatri,ManishSinghal,761.0,2021-07-19,Hindi,4.5,585.0,15.0
The Star Girl,"LineKyedKnudsen,SigneHolstHansen-translator",JenniferWagstaffe,36.0,2021-10-29,English,0.0,99.0,0.0
Bad Boy,MichaelGliksman,AlanKing,201.0,2006-08-15,English,0.0,568.0,0.0
Jeeves and the Unwanted Guest [Classic Tales Edition],P.G.Wodehouse,B.J.Harrison,40.0,2016-09-08,English,4.5,47.0,2.0
"Blood, Steel, and Canvas",CraigA.Wilson,JohnMcLain,443.0,2013-10-04,English,0.0,602.0,0.0
"Eat, Pray, #FML",GabrielleStone,GabrielleStone,579.0,2020-11-02,English,2.5,703.0,2.0
Jungle Doctor and the Whirlwind,PaulWhite,PaulMichael,211.0,2012-07-13,English,0.0,351.0,0.0
The Secret Garden (Dramatized),FrancesHodgsonBurnett,"BarbaraRosenblat,MichaelCrouch,GeorgiaLeeSchultz,",108.0,2022-01-25,English,0.0,632.0,0.0
Expert Secrets - Body Language and Manipulation,MaxwellJensen,JosephThorson,142.0,2021-04-22,English,0.0,398.0,0.0
Lightning Struck,NicholeVan,"P.J.Ochlan,NicolZanzarella",651.0,2020-10-11,English,0.0,585.0,0.0
ささき隊長のみぢかなコワイいきもの,ささき隊長,ささき隊長,54.0,2021-09-22,japanese,0.0,139.0,0.0
The Judge's House,BramStoker,PeterSilverleaf,46.0,2022-10-01,English,0.0,99.0,0.0
"Egyptian Mythology: Classic Stories of Egyptian Myths, Gods, Goddesses, Heroes, and Monsters",ScottLewis,OliverHunt,316.0,2018-11-20,English,5.0,668.0,3.0
The Adrenal Thyroid Revolution,AvivaRomm,TanyaEby,545.0,2017-01-31,English,0.0,1350.0,0.0
The Dragon's Tooth,N.D.Wilson,ThomasVincentKelly,788.0,2011-08-23,English,0.0,1206.0,0.0
Masters of Modern Soccer,GrantWahl,GrantWahl,419.0,2018-01-05,English,0.0,879.0,0.0
Learn Swedish: Ultimate Getting Started with Swedish,InnovativeLanguageLearningLLC,InnovativeLanguageLearning,489.0,2021-11-15,English,0.0,1172.0,0.0
Make Work Matter,MichaelaO'DonnellPhD,MichaelaO'Donnell,346.0,2022-01-18,English,0.0,586.0,0.0
The Blazing World,MargaretCavendish,LucyScott,247.0,2022-11-02,English,0.0,352.0,0.0
Menneskesmugling,Variousauthors,FinnAndersen,38.0,2021-03-12,danish,0.0,99.0,0.0
My Super Sister and the Birthday Party,GwynethRees,SophieAldred,142.0,2013-08-29,English,0.0,349.0,0.0
Bridget Jones,HelenFielding,HelenFielding,194.0,2007-01-30,English,0.0,323.0,0.0
Wormwood Summer,KaiButler,GregTremblay,659.0,2021-09-24,English,0.0,836.0,0.0
"Abraham Lincoln: A Life, Volume Two",MichaelBurlingame,SeanPratt,3225.0,2016-02-18,English,0.0,1338.0,0.0
Switch in the Red (Spanish edition),SusanaVallejoChavarino,OlgaMaríaGarcíaPanadero,592.0,2021-09-15,spanish,0.0,585.0,0.0
Hooked,MichaelMoss,ScottBrick,540.0,2021-04-03,English,4.5,888.0,3.0
Fantastic Beasts and Where to Find Them,"J.K.Rowling,NewtScamander",EddieRedmayne,114.0,2017-03-14,English,4.5,652.0,57.0
The Making of Slap Shot,JonathonJackson,FleetCooper,571.0,2012-01-08,English,0.0,668.0,0.0
F*ck Happiness,ArielGore,LiisaIvary,374.0,2020-12-05,English,0.0,702.0,0.0
Change Your Brain and Stop Procrastination,"RyanMiller,JohnScott",TimothyBurke,656.0,2020-12-06,English,0.0,836.0,0.0
Defending Harlow,SusanStoker,StellaBloom,558.0,2019-04-06,English,5.0,502.0,1.0
The Loop,BenOliver,JulianElfer,495.0,2020-07-04,English,0.0,820.0,0.0
Roma Antiqua,"JohnClarke,JörgFündling-Übersetzer","MichaelHametner,KerstinHoffmann",70.0,2022-03-30,german,0.0,233.0,0.0
1分間日本史1200,石井貴士,大島昭彦,397.0,2020-06-29,japanese,0.0,697.0,0.0
Али: Жизнь. Часть 1,ДжонатанЭйг,ИльяДементьев,624.0,2021-11-17,russian,0.0,233.0,0.0
Alan Turing,SimoneButtazzi,ClaudioBorgianni,58.0,2012-10-10,italian,0.0,75.0,0.0
Weihnachtsbote auf vier Pfoten,SheilaRoberts,BerndReheuser,292.0,2013-09-20,german,0.0,267.0,0.0
La villa degli amori sospesi,LenaJohannson,SabineCerullo,395.0,2021-12-16,italian,0.0,843.0,0.0
Das Kurdenkreuz,KarlMay,JulianLübbers,104.0,2022-04-01,german,0.0,133.0,0.0
Chuang Tsu,"GiaFuFeng,JaneEnglish",ChungliangAlHuang,167.0,2014-05-23,English,0.0,468.0,0.0
